,precision,recall,f1-score,support
0,0.9844760672703752,0.9806701030927835,0.9825693996126533,776.0
1,0.9987129987129987,1.0,0.9993560849967803,776.0
2,0.9961489088575096,1.0,0.9980707395498393,776.0
3,0.9858064516129033,0.9845360824742269,0.9851708575112831,776.0
accuracy,0.9913015463917526,0.9913015463917526,0.9913015463917526,0.9913015463917526
macro avg,0.9912861066134466,0.9913015463917526,0.9912917704176389,3104.0
weighted avg,0.9912861066134467,0.9913015463917526,0.991291770417639,3104.0
