,precision,recall,f1-score,support
0,0.9633286318758815,0.8801546391752577,0.9198653198653198,776.0
1,1.0,1.0,1.0,776.0
2,0.9592088998763906,1.0,0.979179810725552,776.0
3,0.9259259259259259,0.9664948453608248,0.9457755359394704,776.0
accuracy,0.9616623711340206,0.9616623711340206,0.9616623711340206,0.9616623711340206
macro avg,0.9621158644195495,0.9616623711340206,0.9612051666325855,3104.0
weighted avg,0.9621158644195495,0.9616623711340206,0.9612051666325856,3104.0
