,precision,recall,f1-score,support
0,0.9631673800405497,0.9401869158878504,0.9515384187392198,9095.0
1,0.972375082544574,0.971412864211105,0.9718937352180848,9095.0
2,0.9586954189464649,0.9825178669598681,0.9704604691572545,9095.0
accuracy,0.9647058823529412,0.9647058823529412,0.9647058823529412,0.9647058823529412
macro avg,0.9647459605105295,0.9647058823529412,0.9646308743715197,27285.0
weighted avg,0.9647459605105295,0.9647058823529412,0.9646308743715197,27285.0
