,precision,recall,f1-score,support
0,0.9745222929936306,0.9858247422680413,0.9801409352978859,776.0
1,1.0,1.0,1.0,776.0
2,1.0,1.0,1.0,776.0
3,0.9856584093872229,0.9742268041237113,0.9799092676604019,776.0
accuracy,0.9900128865979382,0.9900128865979382,0.9900128865979382,0.9900128865979382
macro avg,0.9900451755952133,0.9900128865979382,0.990012550739572,3104.0
weighted avg,0.9900451755952133,0.9900128865979382,0.990012550739572,3104.0
