,precision,recall,f1-score,support
0,0.9817232375979112,0.9690721649484536,0.9753566796368353,776.0
1,0.9974293059125964,1.0,0.9987129987129987,776.0
2,0.9961489088575096,1.0,0.9980707395498393,776.0
3,0.9756722151088348,0.9819587628865979,0.9788053949903661,776.0
accuracy,0.9877577319587629,0.9877577319587629,0.9877577319587629,0.9877577319587629
macro avg,0.987743416869213,0.9877577319587629,0.9877364532225098,3104.0
weighted avg,0.9877434168692131,0.9877577319587629,0.9877364532225098,3104.0
