,precision,recall,f1-score,support
0,0.9548690984773798,0.9584387025838372,0.9566505706760315,9095.0
1,0.9841566729013093,0.9835074216602528,0.9838319401671798,9095.0
2,0.9637145693173045,0.9607476635514018,0.9622288294240723,9095.0
accuracy,0.9675645959318306,0.9675645959318306,0.9675645959318306,0.9675645959318306
macro avg,0.9675801135653311,0.9675645959318308,0.9675704467557612,27285.0
weighted avg,0.9675801135653311,0.9675645959318306,0.9675704467557613,27285.0
