
Pckt: 9995 - Mean: 0.132286 - Stdev: 0.008020
label,delay
0,0.128000
0,0.129000
0,0.127000
0,0.128000
0,0.176000
0,0.136000
0,0.163000
0,0.143000
0,0.161000
0,0.144000
0,0.170000
0,0.144000
0,0.143000
0,0.127000
0,0.138000
3,0.139000
0,0.153000
3,0.162000
0,0.142000
0,0.163000
0,0.126000
0,0.136000
0,0.134000
0,0.126000
0,0.126000
1,0.126000
0,0.127000
0,0.126000
0,0.128000
0,0.128000
0,0.127000
0,0.139000
0,0.136000
0,0.126000
0,0.128000
0,0.126000
0,0.128000
0,0.127000
0,0.126000
0,0.126000
0,0.126000
0,0.126000
0,0.126000
0,0.127000
0,0.127000
1,0.126000
3,0.126000
0,0.127000
0,0.140000
3,0.136000
0,0.138000
0,0.135000
3,0.133000
0,0.194000
0,0.142000
0,0.175000
0,0.131000
0,0.131000
0,0.130000
0,0.146000
0,0.129000
0,0.206000
0,0.139000
0,0.129000
0,0.127000
0,0.126000
0,0.131000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
0,0.131000
3,0.130000
0,0.129000
0,0.130000
0,0.131000
0,0.130000
0,0.131000
3,0.130000
0,0.130000
0,0.129000
3,0.130000
3,0.131000
0,0.130000
2,0.130000
0,0.129000
0,0.131000
0,0.129000
1,0.129000
0,0.130000
3,0.130000
3,0.129000
0,0.130000
0,0.129000
0,0.130000
0,0.129000
1,0.129000
0,0.130000
1,0.129000
0,0.129000
3,0.129000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
0,0.129000
0,0.130000
0,0.129000
0,0.130000
0,0.130000
0,0.129000
0,0.132000
0,0.131000
0,0.130000
0,0.130000
0,0.129000
0,0.131000
0,0.130000
3,0.130000
0,0.130000
2,0.130000
0,0.131000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
0,0.129000
0,0.129000
0,0.130000
0,0.130000
0,0.131000
1,0.130000
0,0.131000
0,0.129000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
3,0.130000
0,0.129000
0,0.133000
0,0.130000
0,0.130000
0,0.130000
0,0.131000
0,0.130000
0,0.131000
0,0.131000
0,0.130000
0,0.130000
0,0.130000
3,0.130000
3,0.131000
0,0.131000
1,0.130000
0,0.130000
0,0.131000
0,0.131000
0,0.130000
0,0.129000
0,0.130000
1,0.131000
0,0.131000
0,0.130000
0,0.130000
0,0.131000
0,0.131000
0,0.130000
0,0.130000
0,0.131000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
0,0.130000
3,0.130000
0,0.129000
2,0.130000
0,0.131000
0,0.130000
0,0.130000
0,0.131000
3,0.130000
0,0.131000
0,0.130000
3,0.130000
0,0.129000
3,0.130000
0,0.131000
0,0.130000
0,0.130000
0,0.131000
0,0.130000
1,0.131000
1,0.129000
1,0.131000
1,0.130000
1,0.131000
1,0.130000
1,0.131000
1,0.130000
1,0.133000
1,0.131000
1,0.130000
1,0.130000
